Register Report - All Dates

29/12/2015 through 14/10/2023 (in U.S. Dollars)

	Date	Account	Num	Description	Memo	Category	Tag	Clr	Amount	
										
	BALANCE 28/12/2015								0.00	
	18/12/2016	Gift Card Tesco		Credit Return	Tesco Cash Voucher	[CD Return]	Tesco Voucher		70.50	
	19/12/2016	Gift Card Tesco		Bath Equipment	Toothpasth Darlie 2 tubes	B3 My Expense:Household:Bath Equipment:Tooth Paste	For Tax 2016		-79.00	
	19/12/2016	Gift Card Tesco		Kitchen Devices	Soft Scottbrite @Tesco	B3 My Expense:Household:Cleaning Equipment:Scotbrite	For Tax 2016		-22.00	
	20/12/2016	Gift Card Tesco		Toilet Equipment	Toilet Brush	B3 My Expense:Household:Cleaning Equipment:Toilet Brush	For Tax 2016		-67.00	
	20/12/2016	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	For Tax 2016		-37.00	
	23/12/2016	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[CD KTC 21-05-15]	Credit KTC 1st		100.00	
	24/12/2016	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[*CD GSB 18-02-15]	Credit GSB 1st		100.00	
	26/12/2016	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Gift Card Tesco		-20.00	
	26/12/2016	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[*CD KBank 25-09-15]	Credit KBank 1st		100.00	
	27/12/2016	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[XCD Citibank 25-09-15]	Credit Citibank 1st		100.00	
	28/12/2016	Gift Card Tesco		Bath Equipment	Tooth Brush buy 2 got 1 free of Bermen	B3 My Expense:Household:Bath Equipment:Tooth Brush	For Tax 2016		-32.00	
	28/12/2016	Gift Card Tesco		Clothing	Sock 3 pieces	B3 My Expense:Clothing:Sock	Credit UOB 1st		-79.00	
	08/01/2017	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	For Tax 2016		-35.00	
	09/01/2017	Gift Card Tesco		Milk	Milk Original	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Pure	Gift Card Tesco		-79.00	
	09/01/2017	Gift Card Tesco		Milk	Fermented milk	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Juice	Gift Card Tesco		-34.00	
	10/01/2017	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[-CD BBK 07-22-15]	Credit BBK 1st		100.00	
	11/01/2017	Gift Card Tesco		Rice	Rice Krong 1 bag 5 kg	B1 Monthly Expense:B2 Meal & Food:Food:Rice	Credit BBK 1st		-185.00	
	11/01/2017	Gift Card Tesco		Credit Return	Tesco Cash Voucher	[CD Return]	Tesco Voucher		13.00	
	12/01/2017	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[-CD BBK 07-22-15]	Credit BBK 1st		100.00	
	12/01/2017	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	For Tax 2016		-35.00	
	13/01/2017	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[CD TBANK 12-06-25]	Credit TBank 1st		100.00	
	16/01/2017	Gift Card Tesco		Coffee & Milo	Birdy Coffee	B1 Monthly Expense:B2 Meal & Food:Food:Coffee & Milo:Coffee	Gift Card Tesco		-77.00	
	16/01/2017	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Gift Card Tesco		-37.00	
	17/01/2017	Gift Card Tesco		Bath Equipment	Toothpasth Colgate 2 tubes 2 In 1 boxes Jumbo	B3 My Expense:Household:Bath Equipment:Tooth Paste	Gift Card Tesco		-105.00	
	18/01/2017	Gift Card Tesco		Jam & Bread	Jam @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Gift Card Tesco		-72.00	
	18/01/2017	Gift Card Tesco		Milk	Fermented milk	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Juice	Gift Card Tesco		-34.00	
	18/01/2017	Gift Card Tesco		My Coins		B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	My Coins		16.00	
	20/01/2017	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[*CD GSB 18-02-15]	Credit GSB 1st		100.00	
	20/01/2017	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Gift Card Tesco		-37.00	
	22/01/2017	Gift Card Tesco		Bank Expense	Lost Gift Card	B3 My Expense:Bank Expense			-63.00	
	23/01/2017	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[CD KTC 21-05-15]	Credit KTC 1st		100.00	
	26/01/2017	Gift Card Tesco		Milk	Milk Original	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Pure	Gift Card Tesco		-82.00	
	26/01/2017	Gift Card Tesco		Fanta	Fanta Green	B1 Monthly Expense:B2 Meal & Food:Food:Fanta	Gift Card Tesco		-23.00	
	26/01/2017	Gift Card Tesco		My Coins		B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	My Coins		5.00	
	27/01/2017	Gift Card Tesco		Gift Card @Tesco	New Gift Card	[*CD KBank 25-09-15]	Credit KBank 1st		300.00	
	02/02/2017	Gift Card Tesco		Egg	10 eggs @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Egg	Gift Card Tesco		-56.00	
	03/02/2017	Gift Card Tesco		Milk	Milk Original	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Pure	Gift Card Tesco		-79.00	
	03/02/2017	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Gift Card Tesco		-34.00	
	10/02/2017	Gift Card Tesco		Milk	Milk Original	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Pure	Gift Card Tesco		-91.75	
	10/02/2017	Gift Card Tesco		Snack	Mentosh Candy	B1 Monthly Expense:B2 Meal & Food:Food:Snack	Gift Card Tesco		-10.00	
	10/02/2017	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[-CD BBK 07-22-15]	Credit BBK 1st		100.00	
	14/02/2017	Gift Card Tesco		Coffee & Milo	Mocona 3 in 1 20 bags	B1 Monthly Expense:B2 Meal & Food:Food:Coffee & Milo:Coffee	Gift Card Tesco		-83.00	
	14/02/2017	Gift Card Tesco		Milk	Fermented milk	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Juice	Gift Card Tesco		-32.00	
	16/02/2017	Gift Card Tesco		Gift Card @Tesco	New Gift Card	[CD TBANK 12-06-25]	Credit TBank 1st		300.00	
	16/02/2017	Gift Card Tesco		Coffee & Milo	Mocona 3 in 1 20 bags	B1 Monthly Expense:B2 Meal & Food:Food:Coffee & Milo:Coffee	Gift Card Tesco		-83.00	
	16/02/2017	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Gift Card Tesco		-34.00	
	17/02/2017	Gift Card Tesco		Milk	Milk Original	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Pure	Gift Card Tesco		-39.00	
	17/02/2017	Gift Card Tesco		Jam & Bread	Jam @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Gift Card Tesco		-89.00	
	18/02/2017	Gift Card Tesco		Gift Card @Tesco	New Gift Card	[CD TBANK 12-06-25]	Credit TBank 1st		100.00	
	20/02/2017	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[CD TBANK 12-06-25]	Credit TBank 1st		100.00	
	20/02/2017	Gift Card Tesco		Milk	Milk Original	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Pure	Gift Card Tesco		-39.00	
	20/02/2017	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Gift Card Tesco		-34.00	
	20/02/2017	Gift Card Tesco		Milk	Fermented milk	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Juice	Gift Card Tesco		-32.00	
	22/02/2017	Gift Card Tesco		Gift Card @Tesco	Filled Gift Card	[*CD GSB 18-02-15]	Credit GSB 1st		100.00	
	22/02/2017	Gift Card Tesco		Milk	Milk Original	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Pure	Gift Card Tesco		-39.00	
	22/02/2017	Gift Card Tesco		Coffee & Milo	Birdy 3 in 1	B1 Monthly Expense:B2 Meal & Food:Food:Coffee & Milo:Coffee	Gift Card Tesco		-82.00	
	07/05/2017	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Credit Tesco 1st		-20.00	
	29/05/2017	Gift Card Tesco		Milk	Fermented milk	B1 Monthly Expense:B2 Meal & Food:Food:Milk:Juice	Gift Card Tesco		-34.00	
	29/05/2017	Gift Card Tesco		Jam & Bread	Bread @Tesco	B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Gift Card Tesco		-32.00	
	31/05/2017	Gift Card Tesco		Coffee & Milo	Coffee tube @BigC	B1 Monthly Expense:B2 Meal & Food:Food:Coffee & Milo:Coffee			-21.00	
	31/05/2017	Gift Card Tesco		Rabbit Card		B1 Monthly Expense:B2 Meal & Food:Food:Jam & Bread	Rabbit Card		21.00	
	11/06/2017	Gift Card Tesco		Coffee & Milo	Birdy 3 in 1	B1 Monthly Expense:B2 Meal & Food:Food:Coffee & Milo:Coffee	Gift Card Tesco		-57.25	
	29/12/2015 - 14/10/2023								0.00	
										
	BALANCE 14/10/2023								0.00	
										
	TOTAL INFLOWS								9,805.50	
										
	TOTAL OUTFLOWS								-9,805.50	
										
	NET TOTAL								0.00	
